candidate_name,source,locator,region,entity_type_candidate,duplicate_check,decision,decision_reason,reviewed_by
小女良狐,https://www.bunka.pref.mie.lg.jp/minwa/iga/ueno/index.htm,本文後半、小女良の正体と広禪寺の石碑の段,三重県,named_supernatural_entity,既存ID・日本語名・URLと重複なし。類型・地域事例を直結しない,admit,個別の機関再話本文に呼称または特定伝承単位と主張箇所を確認。初出・発生年代は未主張,Codex
おねじゃたぬき,https://www.bunka.pref.mie.lg.jp/minwa/hokusei/inabe/index.htm,本文後半、大入道の正体と「おねじゃ」の名乗りの段,三重県,named_supernatural_entity,既存ID・日本語名・URLと重複なし。類型・地域事例を直結しない,admit,個別の機関再話本文に呼称または特定伝承単位と主張箇所を確認。初出・発生年代は未主張,Codex
まん山ギツネ,https://www.bunka.pref.mie.lg.jp/minwa/iga/sima/index.htm,本文、彦太のお美代との遭遇と太助の重箱の段,三重県,folklore_being,既存ID・日本語名・URLと重複なし。類型・地域事例を直結しない,admit,個別の機関再話本文に呼称または特定伝承単位と主張箇所を確認。初出・発生年代は未主張,Codex
田代が池の白い龍,https://www.bunka.pref.mie.lg.jp/minwa/hokusei/hokusei/index.htm,本文、守り神の名乗りと白い竜の出現の段,三重県,folklore_being,既存ID・日本語名・URLと重複なし。類型・地域事例を直結しない,admit,個別の機関再話本文に呼称または特定伝承単位と主張箇所を確認。初出・発生年代は未主張,Codex
蛇池の大蛇,https://www.bunka.pref.mie.lg.jp/minwa/iga/iga/index.htm,本文冒頭の大蛇、末尾の娘の変化と弁天祭祀の段,三重県,folklore_being,既存ID・日本語名・URLと重複なし。類型・地域事例を直結しない,admit,個別の機関再話本文に呼称または特定伝承単位と主張箇所を確認。初出・発生年代は未主張,Codex
五ケ所浦の牛鬼,https://www.bunka.pref.mie.lg.jp/minwa/sima/nansei/index.htm,本文冒頭の洞穴と末尾の城主伝承の段,三重県,folklore_being,既存ID・日本語名・URLと重複なし。類型・地域事例を直結しない,admit,個別の機関再話本文に呼称または特定伝承単位と主張箇所を確認。初出・発生年代は未主張,Codex
長島浦のかんからこぼしの親方,https://www.bunka.pref.mie.lg.jp/minwa/kishu/kiinaga/index.htm,本文、赤羽川での腕切断と親方の名乗りの段,三重県,folklore_being,既存ID・日本語名・URLと重複なし。類型・地域事例を直結しない,admit,個別の機関再話本文に呼称または特定伝承単位と主張箇所を確認。初出・発生年代は未主張,Codex
横山の八大竜王,https://www.bunka.pref.mie.lg.jp/minwa/sima/ago/index.htm,本文、竜神石の夢告と横山での祭祀の段,三重県,named_supernatural_entity,既存ID・日本語名・URLと重複なし。類型・地域事例を直結しない,admit,個別の機関再話本文に呼称または特定伝承単位と主張箇所を確認。初出・発生年代は未主張,Codex
六把野の顔なし地蔵,https://www.bunka.pref.mie.lg.jp/minwa/hokusei/touin/index.htm,本文、少女と蛇に顔の一部を貸す段と末尾の祭祀の段,三重県,object_spirit,既存ID・日本語名・URLと重複なし。類型・地域事例を直結しない,admit,個別の機関再話本文に呼称または特定伝承単位と主張箇所を確認。初出・発生年代は未主張,Codex
四日市の大入道,https://www.bunka.pref.mie.lg.jp/minwa/hokusei/yokaiti/index.htm,本文、首が伸びる場面と祭りのからくり由来の段,三重県,named_supernatural_entity,既存ID・日本語名・URLと重複なし。類型・地域事例を直結しない,admit,個別の機関再話本文に呼称または特定伝承単位と主張箇所を確認。初出・発生年代は未主張,Codex
