candidate_name,source,locator,region,entity_type_candidate,duplicate_check,decision,decision_reason,reviewed_by
七人みさき,https://www.city.kochi.kochi.jp/deeps/20/2019/muse/hanashi/hanashi10.html,第10話本文,高知県,narrative_group,既存名なし,defer,親実を含め七人／八人の説明と幽霊群の範囲を精査する,Codex
北前の狸,https://www.city.kochi.kochi.jp/deeps/20/2019/muse/hanashi/hanashi15.html,第15話本文,高知県,folklore_being,他地域の狸個体と未照合,defer,人間の玄門と狸への帰属を分離する必要,Codex
北山の大蛇,https://www.city.kochi.kochi.jp/deeps/20/2019/muse/hanashi/hanashi19.html,第19話倒木の場面,高知県,folklore_being,既存大蛇は別地域・別場面,admit,弘岡下北山の大蛇として本文に特定,Codex
竜の池,https://www.city.kochi.kochi.jp/deeps/20/2019/muse/hanashi/hanashi26.html,第26話本文,高知県,unresolved,既存竜類型と娘の関係不明,defer,池の竜とお竜のidentity・粒度を分離する必要,Codex
弘岡下西堀池の石地蔵,https://www.city.kochi.kochi.jp/deeps/20/2019/muse/hanashi/hanashi27.html,第27話帰路の舟足の段落,高知県,object_spirit,既存の地域別石地蔵とは別の資料・場所,admit,特定の石像と帰路の舟足の変化を本文で確認,Codex
天渦の主,https://www.city.kochi.kochi.jp/deeps/20/2019/muse/hanashi/hanashi33.html,第33話本文,高知県,unresolved,既存の池主と直接同一視しない,defer,鯉とも不明な存在とも語られ正体未確認,Codex
ふるそまさん,https://www.city.kochi.kochi.jp/deeps/20/2019/muse/hanashi/hanashi37.html,第37話末尾の斧音,高知県,unresolved,既存名なし,defer,人間の木こりと死後の斧音を一entityにするか要検討,Codex
ヒルマンぼうず,https://www.city.kochi.kochi.jp/deeps/20/2019/muse/hanashi/hanashi38.html,第38話末尾の呼称,高知県,folklore_being,既存名なし,admit,子ども姿・川へ消える場面・呼称を本文で確認,Codex
ほうの坂のしばてん,https://www.city.kochi.kochi.jp/deeps/20/2019/muse/hanashi/hanashi39.html,第39話相撲・桑の古株,高知県,folklore_being,徳島県のシバテンと自動統合しない,admit,ほうの坂の個別話として場所と行動を確認,Codex
竹河岸のえんこう,https://www.city.kochi.kochi.jp/deeps/20/2019/muse/hanashi/hanashi43.html,第43話馬の脚・約束,高知県,folklore_being,しばてんや一般河童と自動統合しない,admit,竹河岸のえんこうと行動を本文で確認,Codex
てじが谷の火玉,https://www.city.kochi.kochi.jp/deeps/20/2019/muse/hanashi/hanashi46.html,第46話火玉・供養,高知県,supernatural_phenomenon,狐火類型や女性霊と自動統合しない,admit,火玉の噂と供養後の停止を本文で確認,Codex
渡し場の怪,https://www.city.kochi.kochi.jp/deeps/20/2019/muse/hanashi/hanashi47.html,第47話渡し守の場面,高知県,narrative_group,七人みさき等との関係未確認,defer,吉良左京進の一行と既存伝承群の粒度未確定,Codex
じょうの搗きや,https://www.city.kochi.kochi.jp/deeps/20/2019/muse/hanashi/hanashi48.html,第48話全文,高知県,none,搗きやは水車小屋名,reject,通常の人物と水車小屋の話で超自然的主体なし,Codex
稲荷新左衛門,https://www.pref.shimane.lg.jp/admin/seisaku/koho/esque/2021/shimanesuque119/2.html,狐（城山稲荷神社）段落,島根県,named_supernatural_entity,既存名なし・狐と神格の同一性は主張しない,admit,固有名と出現・消失・役割を県の解説で確認,Codex
清光院の松風,https://www.pref.shimane.lg.jp/admin/seisaku/koho/esque/2021/shimanesuque119/2.html,芸者松風の幽霊（清光院）段落,島根県,named_supernatural_entity,既存の能の松風とは別文脈・自動統合しない,admit,松江の芸者と幽霊の噂を県の解説で確認,Codex
月照寺の亀の石像,https://www.pref.shimane.lg.jp/admin/seisaku/koho/esque/2021/shimanesuque119/2.html,夜歩く大亀（月照寺）段落,島根県,object_spirit,既存の物霊と別,admit,石像が夜歩く伝承を県の解説で確認,Codex
大雄寺の飴を買う女,https://www.pref.shimane.lg.jp/admin/seisaku/koho/esque/2021/shimanesuque119/2.html,飴を買う女（大雄寺）段落,島根県,folklore_being,産女一般と自動統合しない,defer,県の短い要約だけでは女が超自然的主体かを確定できない,Codex
小豆研ぎ橋の怪異,https://www.pref.shimane.lg.jp/admin/seisaku/koho/esque/2021/shimanesuque119/2.html,小豆研ぎ橋（普門院）段落,島根県,unresolved,既存の小豆とぎ型とは別,defer,橋での歌の禁忌のみで小豆研ぎ主体を確認できない,Codex
松江城の盆踊り少女,https://www.pref.shimane.lg.jp/admin/seisaku/koho/esque/2021/shimanesuque119/2.html,盆踊り（松江城）段落,島根県,unresolved,既存城郭怪異とは未照合,defer,人身御供の少女と城の揺れを一主体にしない,Codex
シイ,https://archives.pref.yamaguchi.lg.jp/events/exhibition/h24/,第12回資料小展示説明第1・2段落,山口県,folklore_being,既存同名なし,admit,牛を殺すと伝えられる狸似の不明な獣を展示が説明,Codex
杉小次郎の怨霊,https://archives.pref.yamaguchi.lg.jp/events/exhibition/h24/,第2回資料小展示説明段落,山口県,unresolved,歴史人物と霊の同一性を分離,defer,展示は伝説名を挙げるのみで行動と出典本文を確認できない,Codex
オドデ様,https://vill.kunohe.iwate.jp/docs/255.html,本文「九戸地方にはいろいろな昔話が…」のオドデ様紹介段落,岩手県,named_supernatural_entity,既存name・alias・地域・役割を照合し同一例なし,admit,個別本文または所在を固定した資料内の記述を確認。既刊原冊未照合はsource欄に明記,Codex
桜淵の河童,https://www.city.hanamaki.iwate.jp/kosodate_kyoiku/kyoiku/sho_chugakko/website/1001550/1013983/1013988/1014000.html,見出し「河童の証文（口碑伝記：第一集）」、馬を引く場面と三箇条の約束・手印の段落,岩手県,folklore_being,既存name・alias・地域・役割を照合し同一例なし,admit,個別本文または所在を固定した資料内の記述を確認。既刊原冊未照合はsource欄に明記,Codex
亀ケ森の身代わり観音,https://www.city.hanamaki.iwate.jp/kosodate_kyoiku/kyoiku/sho_chugakko/website/1001550/1013983/1013988/1013998.html,見出し「亀ケ森玄蕃の兜神（亀ケ森村誌抄）」、光背欠損・身代わり観音の段落と質屋の霊夢の段落,岩手県,object_spirit,既存name・alias・地域・役割を照合し同一例なし,admit,個別本文または所在を固定した資料内の記述を確認。既刊原冊未照合はsource欄に明記,Codex
新玉の池の大蛇,https://common3.pref.akita.lg.jp/genkimura/archive/contents-409,「新玉の池」本文の大蛇伝説の段落および「また、『男鹿の昔ばなし』によると」の段落,秋田県,folklore_being,既存name・alias・地域・役割を照合し同一例なし,admit,個別本文または所在を固定した資料内の記述を確認。既刊原冊未照合はsource欄に明記,Codex
夜宮の森の産婦狐,https://www.city.kitakyushu.lg.jp/tobata/file_0007.html,「夜宮の森にまつわるお話」本文、出産から翌朝の子狐までの段落,福岡県,folklore_being,既存name・alias・地域・役割を照合し同一例なし,admit,個別本文または所在を固定した資料内の記述を確認。既刊原冊未照合はsource欄に明記,Codex
紫雲寺潟のお福,https://www.city.niigata.lg.jp/kurashi/kankyo/kataken/kataken_kankoubutsu.files/H29takahashi06.pdf,印刷頁59／PDF 1頁、（１）福島潟「紫雲寺潟とお福」,新潟県,named_supernatural_entity,既存name・alias・地域・役割を照合し同一例なし,admit,個別本文または所在を固定した資料内の記述を確認。既刊原冊未照合はsource欄に明記,Codex
善照寺の鐘,https://www.city.niigata.lg.jp/kurashi/kankyo/kataken/kataken_kankoubutsu.files/H29takahashi06.pdf,印刷頁60／PDF 2頁、（１）福島潟「福島潟に沈んだ鐘」,新潟県,object_spirit,既存name・alias・地域・役割を照合し同一例なし,admit,個別本文または所在を固定した資料内の記述を確認。既刊原冊未照合はsource欄に明記,Codex
鳥屋野潟の竜灯,https://www.city.niigata.lg.jp/kurashi/kankyo/kataken/kataken_kankoubutsu.files/H29takahashi06.pdf,印刷頁60／PDF 2頁、（３）鳥屋野潟「竜灯」,新潟県,supernatural_phenomenon,既存name・alias・地域・役割を照合し同一例なし,admit,個別本文または所在を固定した資料内の記述を確認。既刊原冊未照合はsource欄に明記,Codex
白山亀,https://www.city.niigata.lg.jp/kurashi/kankyo/kataken/kataken_kankoubutsu.files/H29takahashi06.pdf,印刷頁60／PDF 2頁、（３）鳥屋野潟「白山亀と鳥屋野亀」,新潟県,named_supernatural_entity,既存name・alias・地域・役割を照合し同一例なし,admit,個別本文または所在を固定した資料内の記述を確認。既刊原冊未照合はsource欄に明記,Codex
色麻の河童,https://www.town.shikama.miyagi.jp/soshiki/shakai_kyoiku/8/458.html,「かっぱ伝説」本文、若侍が腕を切り落とす段落と河童膏と交換する段落,宮城県,folklore_being,既存name・alias・地域・役割を照合し同一例なし,admit,個別本文または所在を固定した資料内の記述を確認。既刊原冊未照合はsource欄に明記,Codex
三崎山の手長足長,https://common3.pref.akita.lg.jp/genkimura/archive/contents-536,本文の伝説説明,秋田県,folklore_being,既存misakiyama_tenaga_ashinaga,reject,既存entityと同一の三崎山伝承,Codex
能恵姫,https://common3.pref.akita.lg.jp/genkimura/archive/contents-788,本文の岩崎伝説,秋田県,named_supernatural_entity,既存noe_hime,reject,既存entityと同一人物の伝説,Codex
海御前,https://www.city.kitakyushu.lg.jp/moji/w1100373.html,水天宮-平家伝説,福岡県,historical_person_in_supernatural_tradition,既存moji_amagoze,reject,既存entityと同一の北九州市説明,Codex
リキリン,https://www.city.kitakyushu.lg.jp/moji/w1100373.html,恒見八幡神社,福岡県,named_supernatural_entity,既存moji_rikirin,reject,既存entityと同一の北九州市説明,Codex
根岸のオシラサマ,https://www.city.hanamaki.iwate.jp/kosodate_kyoiku/kyoiku/sho_chugakko/website/1001550/1013983/1013988/1014001.html,「根岸のオシラサマ（中平文書）」,岩手県,object_spirit,既存oshira_samaとのregional manifestation関係未整理,defer,儀礼対象は確認できるが独立entity粒度を要レビュー,Codex
高塔山の河童群,https://www.city.kitakyushu.lg.jp/wakamatsu/file_0014.html,かっぱ封じの地蔵尊,福岡県,folklore_being,群体と既存河童類型を比較,defer,市の解説は小説『石と釘』経由。群体のentity粒度と原作未照合,Codex
内沼潟のミノムシ,https://www.city.niigata.lg.jp/kurashi/kankyo/kataken/kataken_kankoubutsu.files/H29takahashi06.pdf,印刷頁60／PDF 2頁「ミノムシ」,新潟県,supernatural_phenomenon,既存minomushi_roadと同地域・火の現象,defer,既存ミノムシとの同異と原掲載『豊栄市史』未確認,Codex
鳥屋野潟の大亀,https://www.city.niigata.lg.jp/kurashi/kankyo/kataken/kataken_kankoubutsu.files/H29takahashi06.pdf,印刷頁60／PDF 2頁「鳥屋野潟の大亀」「白山亀と鳥屋野亀」,新潟県,folklore_being,同一潟の複数異伝を確認,defer,サイズ・行動が出典ごとに異なり個体粒度を先に検討,Codex
三平池の大亀,https://www.city.niigata.lg.jp/kurashi/kankyo/kataken/kataken_kankoubutsu.files/H29takahashi06.pdf,印刷頁60–61／PDF 2–3頁「三平池の大亀」,新潟県,folklore_being,鳥屋野潟の大亀との同異未確認,defer,複数報告の主・亀の同一性を原冊で確認する必要,Codex
高屋敷館の狐,https://www.city.hanamaki.iwate.jp/kosodate_kyoiku/kyoiku/sho_chugakko/website/1001550/1012754/1013757.html,紙芝居ページ1013757,岩手県,folklore_being,既存同名なし,defer,公開ページ本文は画像中心で内容とlocatorを直接抽出できない,Codex
こえだのキツネ,https://www.city.hanamaki.iwate.jp/kosodate_kyoiku/kyoiku/sho_chugakko/website/1001550/1012754/1013189.html,紙芝居ページ1013189,岩手県,folklore_being,既存同名なし,defer,リンク表示と個別ページ題名が異なり画像本文のidentity未確認,Codex
福島潟のうわばみ,https://www.city.niigata.lg.jp/kurashi/kankyo/kataken/kataken_kankoubutsu.files/H29takahashi06.pdf,印刷頁59／PDF 1頁「うわばみ」2項,新潟県,folklore_being,二話の大蛇の同異未確認,defer,岸新田と葛塚の話を同一entityに束ねない,Codex
