candidate_name,source,locator,region,entity_type_candidate,duplicate_check,decision,decision_reason,reviewed_by
井草のケサ坊河童,https://www.city.sayama.saitama.jp/manabu/dentou/minwa_densyo/mizutomi_chiku/takegahutinodensetu.html,本文、タケ坊・ケサ坊・まんだらを列挙する段落,埼玉県,named_supernatural_entity,既存名・IDと重複なし,admit,自治体の本文に固有名を持つ河童として明示。市外の同名存在との同一性は未主張,Codex
久米のまんだら河童,https://www.city.sayama.saitama.jp/manabu/dentou/minwa_densyo/mizutomi_chiku/takegahutinodensetu.html,本文、タケ坊・ケサ坊・まんだらを列挙する段落,埼玉県,named_supernatural_entity,既存名・IDと重複なし,admit,自治体の本文に固有名を持つ河童として明示。市外の同名存在との同一性は未主張,Codex
柴田勝家の亡霊,https://www.library-archives.pref.fukui.lg.jp/bunsho/category/tenji/29991.html,展示内容紹介 (1 柴田勝家の亡霊) の翻刻文,福井県,historical_person_in_supernatural_tradition,既存名・IDと重複なし,admit,原資料名・資料IDを掲げる文書館展示の翻刻に、区別可能な怪異・伝承対象を確認。原画像は未照合,Codex
福井大火の大法師,https://www.library-archives.pref.fukui.lg.jp/bunsho/category/tenji/29991.html,展示内容紹介 (2 大火を煽る大法師) の翻刻文,福井県,folklore_being,既存名・IDと重複なし,admit,原資料名・資料IDを掲げる文書館展示の翻刻に、区別可能な怪異・伝承対象を確認。原画像は未照合,Codex
妻に化けた大猫,https://www.library-archives.pref.fukui.lg.jp/bunsho/category/tenji/29991.html,展示内容紹介 (3 妻に化けた大猫) の翻刻文,福井県,folklore_being,既存名・IDと重複なし,admit,原資料名・資料IDを掲げる文書館展示の翻刻に、区別可能な怪異・伝承対象を確認。原画像は未照合,Codex
東尋坊の悪霊,https://www.library-archives.pref.fukui.lg.jp/bunsho/category/tenji/29991.html,展示内容紹介 (4 東尋坊の悪霊) の翻刻文,福井県,named_supernatural_entity,既存名・IDと重複なし,admit,原資料名・資料IDを掲げる文書館展示の翻刻に、区別可能な怪異・伝承対象を確認。原画像は未照合,Codex
夜叉ヶ池の夜叉,https://www.library-archives.pref.fukui.lg.jp/bunsho/category/tenji/29991.html,展示内容紹介 (5 夜叉ヶ池) の翻刻文,福井県,folklore_being,既存名・IDと重複なし,admit,原資料名・資料IDを掲げる文書館展示の翻刻に、区別可能な怪異・伝承対象を確認。原画像は未照合,Codex
白鬼女,https://www.library-archives.pref.fukui.lg.jp/bunsho/category/tenji/29991.html,展示内容紹介 (6 白鬼女) の翻刻文,福井県,folklore_being,既存名・IDと重複なし,admit,原資料名・資料IDを掲げる文書館展示の翻刻に、区別可能な怪異・伝承対象を確認。原画像は未照合,Codex
金ヶ崎の海上怪異,https://www.library-archives.pref.fukui.lg.jp/bunsho/category/tenji/29991.html,展示内容紹介 (10 海上の怪異) の翻刻文,福井県,supernatural_phenomenon,既存名・IDと重複なし,admit,原資料名・資料IDを掲げる文書館展示の翻刻に、区別可能な怪異・伝承対象を確認。原画像は未照合,Codex
九頭竜川の九頭龍,https://www.library-archives.pref.fukui.lg.jp/bunsho/category/tenji/29991.html,展示内容紹介 (11 九頭竜) の翻刻文,福井県,named_supernatural_entity,既存名・IDと重複なし,admit,原資料名・資料IDを掲げる文書館展示の翻刻に、区別可能な怪異・伝承対象を確認。原画像は未照合,Codex
横浜浦の怪牛,https://www.library-archives.pref.fukui.lg.jp/bunsho/category/tenji/29991.html,展示内容紹介 (12 海中から来た怪牛) の翻刻文,福井県,folklore_being,既存名・IDと重複なし,admit,原資料名・資料IDを掲げる文書館展示の翻刻に、区別可能な怪異・伝承対象を確認。原画像は未照合,Codex
松岡の霊火,https://www.library-archives.pref.fukui.lg.jp/bunsho/category/tenji/29991.html,展示内容紹介 (13 松岡の霊火) の翻刻文,福井県,supernatural_phenomenon,既存名・IDと重複なし,admit,原資料名・資料IDを掲げる文書館展示の翻刻に、区別可能な怪異・伝承対象を確認。原画像は未照合,Codex
若宮淵の大鯰,https://www.library-archives.pref.fukui.lg.jp/bunsho/category/tenji/29991.html,展示内容紹介 (23 若宮淵のヌシ) の翻刻文,福井県,folklore_being,既存名・IDと重複なし,admit,原資料名・資料IDを掲げる文書館展示の翻刻に、区別可能な怪異・伝承対象を確認。原画像は未照合,Codex
水野源七宅の老獺,https://www.library-archives.pref.fukui.lg.jp/bunsho/category/tenji/29991.html,展示内容紹介 (16 老カワウソの手) の翻刻文,福井県,folklore_being,既存名・IDと重複なし,admit,原資料名・資料IDを掲げる文書館展示の翻刻に、区別可能な怪異・伝承対象を確認。原画像は未照合,Codex
孫右衛門が嬶,https://www.library-archives.pref.fukui.lg.jp/bunsho/category/tenji/29991.html,展示内容紹介 (17 孫右衛門が嬶) の翻刻文,福井県,folklore_being,既存名・IDと重複なし,admit,原資料名・資料IDを掲げる文書館展示の翻刻に、区別可能な怪異・伝承対象を確認。原画像は未照合,Codex
ぼた餅化物,https://www.library-archives.pref.fukui.lg.jp/bunsho/category/tenji/29991.html,展示内容紹介 (18 ぼた餅化物) の翻刻文,福井県,named_supernatural_entity,既存名・IDと重複なし,admit,原資料名・資料IDを掲げる文書館展示の翻刻に、区別可能な怪異・伝承対象を確認。原画像は未照合,Codex
鯖屋の抜け首,https://www.library-archives.pref.fukui.lg.jp/bunsho/category/tenji/29991.html,展示内容紹介 (21 抜け首) の翻刻文,福井県,folklore_being,既存名・IDと重複なし,admit,原資料名・資料IDを掲げる文書館展示の翻刻に、区別可能な怪異・伝承対象を確認。原画像は未照合,Codex
行灯の油を舐める小児,https://www.library-archives.pref.fukui.lg.jp/bunsho/category/tenji/29991.html,展示(8)の翻刻,福井県,folklore_being,同名なし,defer,小児自身と入れ替わった妖怪のidentityが不明で、人間を怪異と同一視できない,Codex
イモリの妖,https://www.library-archives.pref.fukui.lg.jp/bunsho/category/tenji/29991.html,展示(19)の翻刻,福井県,folklore_being,同名なし,defer,小人群・赤い大イモリ・義鑑房の亡魂の粒度と同一性が未確定,Codex
イッパクの霊,https://www.library-archives.pref.fukui.lg.jp/bunsho/category/tenji/29991.html,展示(20)の英文・訳文,福井県,named_supernatural_entity,同名なし,defer,イッパクと一国女の人物同定に展示自体が混同を指摘,Codex
漆ヶ淵の龍,https://www.library-archives.pref.fukui.lg.jp/bunsho/category/tenji/29991.html,展示(9)の翻刻,福井県,folklore_being,同名なし,defer,人工の龍頭と話中で飲み込む龍のentity粒度が不明,Codex
福井城隅櫓下の大鼈,https://www.library-archives.pref.fukui.lg.jp/bunsho/category/tenji/29991.html,展示(15)の翻刻,福井県,folklore_being,同名なし,defer,巨大動物の目撃と超自然的怪異との境界が不明。草稿から除外,Codex
福井城隅櫓下の大鯉,https://www.library-archives.pref.fukui.lg.jp/bunsho/category/tenji/29991.html,展示(22)の翻刻,福井県,folklore_being,同名なし,reject,巨大魚の伝聞以上の怪異性が資料から確認できない,Codex
元覚堤の人柱,https://www.library-archives.pref.fukui.lg.jp/bunsho/category/tenji/29991.html,展示(14)の翻刻,福井県,historical_person_in_supernatural_tradition,同名なし,reject,殺害伝承であり怪異としての出現・人格は記されない,Codex
